,id,building_type,building_subtype,price,living_area,frontages,bedrooms,bathrooms,liv_room_surf,kitchen_type,showers,toilets,basement,terrace,garden,elevator,swimming_pool,status_build,furnished,energy_class,heating,flood_zone,surroundings,zipcode,municipality,province
4298,10474793,house,house,150000.0,171.0,2.0,4.0,2.0,,0.0,,1.0,,16,0,,0.0,1.0,0.0,3,,,Urban,4800,Verviers,Liège
4299,10593859,apartment,apartment,239000.0,90.0,,2.0,,,,,,,0,0,1.0,,2.0,,6,Gas,Non flood zone,Urban,8310,Sint-Kruis,West Flanders
4300,10562918,house,house,,203.0,,2.0,,,,,,,0,0,,,,,1,,,,5575,Winenne,Namur
4301,10489037,apartment,flat-studio,95000.0,,,,,,,,,,0,0,,,,1.0,5,,,,8434,Middelkerke,West Flanders
4302,10526906,apartment,apartment,,100.0,,2.0,1.0,,1.0,,1.0,1.0,0,0,1.0,,2.0,,4,Gas,,,4020,Wandre,Liège
4303,10581240,apartment,apartment,239000.0,,4.0,1.0,1.0,,3.0,,1.0,,10,0,1.0,0.0,3.0,,7,Gas,Non flood zone,"Living area (residential, urban or rural)",8210,Zedelgem,West Flanders
4304,10244700,apartment,duplex,195000.0,97.0,2.0,2.0,1.0,,1.0,,2.0,,11,0,,,2.0,,1,Gas,,,1030,Schaerbeek,Brussels Capital Region
4305,10236271,apartment,apartment,80000.0,50.0,2.0,1.0,1.0,12.0,1.0,,1.0,,0,0,,,2.0,0.0,4,Gas,Non flood zone,,7340,Wasmes,Hainaut
4306,10190614,apartment,apartment,165000.0,170.0,2.0,3.0,1.0,60.0,2.0,,1.0,,0,0,,,2.0,,2,Gas,,,5060,Velaine-Sur-Sambre,Namur
4307,10584983,apartment,apartment,240000.0,87.0,2.0,2.0,1.0,,,,,1.0,9,0,1.0,0.0,2.0,0.0,5,Gas,Non flood zone,,1020,Laeken,Brussels Capital Region
4308,10600255,apartment,apartment,,,,2.0,1.0,,1.0,,1.0,1.0,0,0,,,,,1,,,,1210,Saint-Josse-Ten-Noode,Brussels Capital Region
4309,10477789,apartment,duplex,167000.0,85.0,2.0,2.0,1.0,32.0,0.0,1.0,1.0,1.0,0,0,,,,,1,Electric,,Urban,7860,Lessines,Hainaut
4310,10244699,apartment,apartment,195000.0,97.0,2.0,2.0,1.0,,1.0,,2.0,,11,0,,,2.0,,1,Gas,,,1030,Schaerbeek,Brussels Capital Region
